simulation_time,latitude,longitude,altitude,speed,battery,heading,target_heading,heading_difference,flight_state,flight_mode,current_waypoint,distance_to_waypoint
55.0,50.20992503422981,-5.480352305408784,180,15.0,97.10000000000015,77.98740565375196,77.98740565375196,-4.055209501530044e-10,CRUISE,STRAIGHT,0,54.98141845600275
56.0,50.209953159458884,-5.480220129479669,180,15.0,97.05000000000015,77.9874056541771,77.9874056541771,4.2513192965998314e-10,CRUISE,STRAIGHT,0,39.9814184559731
57.0,50.20998128468796,-5.480087953550554,180,15.0,97.00000000000016,77.98740565329639,77.98740565329639,-8.80703510119929e-10,CRUISE,STRAIGHT,0,24.98141845601117
58.0,50.210009409917035,-5.479955777621439,180,15.0,96.95000000000016,77.98740565431463,77.98740565431463,1.018236162053654e-09,CRUISE,STRAIGHT,1,9.981418455981519
59.0,50.21004833309788,-5.479826369388546,180,15.0,96.90000000000016,73.25985626919609,73.25985626919609,-4.72754938511855,CRUISE,TURNING,1,574.4353559234434
60.0,50.210087256278726,-5.4796969611556525,180,15.0,96.85000000000016,73.25985626916291,73.25985626916291,-3.319655661471188e-11,CRUISE,STRAIGHT,1,559.435355923585
61.0,50.21012617945957,-5.479567552922759,180,15.0,96.80000000000017,73.25985626912791,73.25985626912791,-3.501554601825774e-11,CRUISE,STRAIGHT,1,544.4353559237268
62.0,50.21016510264042,-5.479438144689866,180,15.0,96.75000000000017,73.25985626909093,73.25985626909093,-3.6976643968955614e-11,CRUISE,STRAIGHT,1,529.4353559238683
63.0,50.21020402582126,-5.479308736456973,180,15.0,96.70000000000017,73.25985626905178,73.25985626905178,-3.916511559509672e-11,CRUISE,STRAIGHT,1,514.4353559240101
64.0,50.210242949002115,-5.47917932822408,180,15.0,96.65000000000018,73.2598562690103,73.2598562690103,-4.149569576838985e-11,CRUISE,STRAIGHT,1,499.4353559241516
65.0,50.21028187218296,-5.479049919991187,180,15.0,96.60000000000018,73.25985626905556,73.25985626905556,4.524736141320318e-11,CRUISE,STRAIGHT,1,484.4353559240662
66.0,50.21032079536381,-5.478920511758294,180,15.0,96.55000000000018,73.25985626901154,73.25985626901154,-4.402522790769581e-11,CRUISE,STRAIGHT,1,469.4353559242078
67.0,50.21035971854466,-5.478791103525401,180,15.0,96.50000000000018,73.25985626905984,73.25985626905984,4.831690603168681e-11,CRUISE,STRAIGHT,1,454.43535592412235
68.0,50.21039864172551,-5.478661695292508,180,15.0,96.45000000000019,73.25985626901294,73.25985626901294,-4.689582056016661e-11,CRUISE,STRAIGHT,1,439.435355924264
69.0,50.21043756490636,-5.478532287059615,180,15.0,96.40000000000019,73.25985626906471,73.25985626906471,5.17843545821961e-11,CRUISE,STRAIGHT,1,424.43535592417845
70.0,50.21047648808721,-5.478402878826722,180,15.0,96.3500000000002,73.25985626901456,73.25985626901456,-5.013589543523267e-11,CRUISE,STRAIGHT,1,409.43535592432016
71.0,50.210515411268055,-5.4782734705938285,180,15.0,96.3000000000002,73.25985626907033,73.25985626907033,5.576339390245266e-11,CRUISE,STRAIGHT,1,394.4353559242346
72.0,50.21055433444891,-5.478144062360935,180,15.0,96.2500000000002,73.25985626901644,73.25985626901644,-5.3887561080046e-11,CRUISE,STRAIGHT,1,379.4353559243763
73.0,50.21059325762975,-5.478014654128042,180,15.0,96.2000000000002,73.25985626907686,73.25985626907686,6.042455424903892e-11,CRUISE,STRAIGHT,1,364.4353559242908
74.0,50.210632180810606,-5.477885245895149,180,15.0,96.1500000000002,73.25985626901863,73.25985626901863,-5.823608262289781e-11,CRUISE,STRAIGHT,1,349.4353559244324
75.0,50.21067110399145,-5.477755837662256,180,15.0,96.10000000000021,73.25985626908457,73.25985626908457,6.59383658785373e-11,CRUISE,STRAIGHT,1,334.43535592434694
76.0,50.210710027172304,-5.477626429429363,180,15.0,96.05000000000021,73.25985626902124,73.25985626902124,-6.332356861094013e-11,CRUISE,STRAIGHT,1,319.4353559244886
77.0,50.21074895035315,-5.47749702119647,180,15.0,96.00000000000021,73.2598562690938,73.2598562690938,7.256062417582143e-11,CRUISE,STRAIGHT,1,304.43535592440304
78.0,50.210787873533995,-5.477367612963577,180,15.0,95.95000000000022,73.25985626902438,73.25985626902438,-6.940581442904659e-11,CRUISE,STRAIGHT,1,289.43535592454475
79.0,50.21082679671485,-5.477238204730684,180,15.0,95.90000000000022,73.25985626894737,73.25985626894737,-7.702283255639486e-11,CRUISE,STRAIGHT,1,274.4353559246864
80.0,50.21086571989569,-5.477108796497791,180,15.0,95.85000000000022,73.25985626902826,73.25985626902826,8.08881850389298e-11,CRUISE,STRAIGHT,1,259.43535592460086
81.0,50.210904643076546,-5.476979388264898,180,15.0,95.80000000000022,73.25985626894203,73.25985626894203,-8.623146641184576e-11,CRUISE,STRAIGHT,1,244.43535592474254
82.0,50.21094356625739,-5.4768499800320045,180,15.0,95.75000000000023,73.25985626903315,73.25985626903315,9.112000043387525e-11,CRUISE,STRAIGHT,1,229.435355924657
83.0,50.210982489438244,-5.476720571799111,180,15.0,95.70000000000023,73.2598562689352,73.2598562689352,-9.794121069717221e-11,CRUISE,STRAIGHT,1,214.43535592479867
84.0,50.21102141261909,-5.476591163566218,180,15.0,95.65000000000023,73.2598562690395,73.2598562690395,1.0430767360958271e-10,CRUISE,STRAIGHT,1,199.43535592471315
85.0,50.21106033579994,-5.476461755333325,180,15.0,95.60000000000024,73.25985626892616,73.25985626892616,-1.1334577720845118e-10,CRUISE,STRAIGHT,1,184.43535592485483
86.0,50.21109925898079,-5.476332347100432,180,15.0,95.55000000000024,73.25985626904811,73.25985626904811,1.219575551658636e-10,CRUISE,STRAIGHT,1,169.4353559247693
87.0,50.21113818216164,-5.476202938867539,180,15.0,95.50000000000024,73.25985626891357,73.25985626891357,-1.3454837244353257e-10,CRUISE,STRAIGHT,1,154.43535592491097
88.0,50.211177105342486,-5.476073530634646,180,15.0,95.45000000000024,73.25985626906044,73.25985626906044,1.468833943363279e-10,CRUISE,STRAIGHT,1,139.43535592482547
89.0,50.21121602852334,-5.475944122401753,180,15.0,95.40000000000025,73.25985626889494,73.25985626889494,-1.6549961401324254e-10,CRUISE,STRAIGHT,1,124.43535592496711
90.0,50.211254951704184,-5.47581471416886,180,15.0,95.35000000000025,73.2598562690795,73.2598562690795,1.8457058104104362e-10,CRUISE,STRAIGHT,1,109.4353559248816
91.0,50.21129387488504,-5.475685305935967,180,15.0,95.30000000000025,73.25985626886445,73.25985626886445,-2.1503865355043672e-10,CRUISE,STRAIGHT,1,94.43535592502326
92.0,50.21133279806588,-5.475555897703074,180,15.0,95.25000000000026,73.25985626911297,73.25985626911297,2.4851942725945264e-10,CRUISE,STRAIGHT,1,79.43535592493774
93.0,50.211371721246735,-5.4754264894701805,180,15.0,95.20000000000026,73.25985626880559,73.25985626880559,-3.0738078748981934e-10,CRUISE,STRAIGHT,1,64.4353559250794
94.0,50.21141064442758,-5.475297081237287,180,15.0,95.15000000000026,73.25985626918705,73.25985626918705,3.814761839748826e-10,CRUISE,STRAIGHT,1,49.4353559249939
95.0,50.21144956760843,-5.475167673004394,180,15.0,95.10000000000026,73.25985626864417,73.25985626864417,-5.428830718301469e-10,CRUISE,STRAIGHT,1,34.43535592513555
96.0,50.21148849078928,-5.4750382647715,180,15.0,95.05000000000027,73.25985626948989,73.25985626948989,8.457163858111016e-10,CRUISE,STRAIGHT,2,19.43535592505004
97.0,50.21150435113573,-5.47490406360102,180,15.0,95.00000000000027,83.25985626948989,116.2856055115139,43.025749242024006,CRUISE,TURNING,2,623.7439378078861
98.0,50.21149666673919,-5.474769147127609,180,15.0,94.95000000000027,93.25985626948989,117.05197263118002,33.79211636169015,CRUISE,TURNING,2,611.2222273390128
